Title	Creator	Performer	Lang.	Rec Date	Genre	Sub-genre	Topic	Mood	Dominant Instrument	Ins. Sk.	Lyr	Voc	Mel	Rhy	ddr	T'po	Stu In
string	string	string	string	int	string	string	string	string	string	int	int	int	int	int	int	int	-
Worldwide 	Big Time Rush 	big time rush 	English 	2009	pop	null	hurt	sad	drum	5	6	7	6	6	8	7	aa
Good To Ya 	King Combs, Ty Dolla $ign	King Combs, Ty Dolla $ign	English	2019	hip-hop	rap	hurt	sad	synthesizer	6	7	7	7	8	8	8	aa
Chi Chi 	Trey Songz, Chris Brown	Trey Songz, Chris Brown	English	2019	hip-hop	rap 	moving on	confidence	synthesizer	6	6	7	7	7	6	7	aa
False Signal	Melii	Melii	English	2019	hip-hop	rap	heartache	sad	synthesizer 	6	7	7	7	7	7	7	aa
Don't Run Away	Tyler James Williams 	Tyler James Williams 	English	2012	hip-hop	rap	pursuing love	sad	synthesizer	6	7	8	7	8	9	8	aa
Had Me Hello	Luke Benward	Luke Benward	English	2012	pop	null	love	happy	guitar	7	7	8	8	8	7	7	aa
Body Ain't Me 	Pink sweats	Pink sweats	English	2019	pop	null	love	sad	guitar	7	9	9	8	7	6	6	aa
Fame	Muza	Muza	Bengali,English	2019	pop	null	fame	happy	synthesizer	7	9	9	8	8	6	7	aa
Beasty	A boogie wit da hoodie	A boogie wit da hoodie	English	2018	hip-hop	rap	moved on	happy	synthesizer	6	8	7	8	8	7	7	aa
Vertigo	Khalid 	Khalid	English	2018	pop	R&B	life	happy	drums	6	7	8	8	7	5	7	aa
beautiful pain	alec benjamin	alec benjamin	English	2018	pop	null	hurt	sad	guitar 	8	7	9	9	8	1	2	ab
Demons	jacob lee	jacob lee	English	2017	pop	rhythm and blues	inside demons	sad	guitar 	7	8	9	8	7	3	5	ab
Homicide 	 Logic, Eminem 	Logic, Eminem	English	2019	hip-hop	Rap	murder	anger	synthesizer	5	8	8	9	10	5	6	ab
Need Someone	Ollie	Ollie	English	2018	hip-hop	Rap	Heart Broken	sad	drum	6	9	9	9	9	4	4	ab
you were my everything	Aviation	Aviation	English	2010	hip-hop	Rap	Heart Broken	sad	drum	7	8	7	9	8	3	3	ab
IsIs 	Joyner Lucas, Logic	Joyner Lucas, Logic	English	2019	hip-hop	rap	disablitiy 	troubled	synthesizer	5	7	6	8	8	4	5	ab
Mental issues	Sik World	Sik World	English	2017	hip-hop	rap	issues	troubled	synthesizer	5	8	7	8	5	2	3	ab
Let Me Love you	Mario	Mario	English	2004	Soul	pop	Love	sad	synthesizer	3	7	9	7	5	1	2	ab
kryptonite	3 doors down	3 doors down	English	2000	Hard rock	null	SuperHuman	Steady	guitar	9	8	6	8	7	1	5	ab
Blue	Viffel65	Viffel65	English	1999	Dance	Electronic	Blue everything	Uplifting	paino	9	6	7	9	9	9	8	ab
Build God, Then We'll Talk	Panic! at the Disco	Panic! at the Disco	English	2005	pop	punk	illusions	deluded	guitar	7	7	6	4	8	7	8	ama
Care of Cell 44	The Zombies	The Zombies	English	1967	pop	psychedelic	return	happy	guitar	7	8	8	6	6	7	6	ama
Drain You	Nirvana	Nirvana	English	1991	rock	grunge	love	intense	guitar	8	5	4	1	7	1	7	ama
Flourescent Adolescent	Arctic Monkeys	Arctic Monkeys	English	2007	rock	punk	yearning	nostalgic	guitar	7	8	6	3	8	4	7	ama
Give Me Novocaine/She's a Rebel	Green Day	Green Day	English	2003	rock	punk	unsure	numb	guitar	9	7	7	5	6	4	7	ama
Jenny Was A Friend Of Mine	The Killers	The Killers	English	2003	rock	punk	murder	justified	guitar	8	6	4	2	7	2	8	ama
Kiss Off	Violent Femmes	Violent Femmes	English	1982	folk	punk	betrayed	upset	guitar 	9	8	6	4	7	5	7	ama
Leave Me Alone	FIDLAR	FIDLAR	English	2017	rock	punk	isolation	depressed	guitar 	7	6	3	2	7	3	7	ama
Psycho Killer	Talking Heads	Talking Heads	English	1997	rock	new wave	murder	troubled	bass	8	5	6	2	7	5	8	ama
Take Me Out	Franz Ferdinand	Franz Ferdinand	English	2003	rock	alternative	loneliness	fateful	guitar	8	5	4	3	5	4	5	ama
1.5	Nils, Wheezy, Offset, 21 Savage	21 Savage, Offset	English 	2018	motown	Rap	braggadocious	upbeat	flute	5	3	4	7	8	7	8	DG
Adults Swim	CHASETHEMONEY, Ski Mask the Slump God	Ski Mask the Slump God	English	2018	hip-hop	Trap	braggadocious	upbeat	synthesizer	5	7	4	4	8	6	7	DG
Buiness is Buiness	Taz Taylor, SIDEPCE, Lil Baby, Gunna, Turbo	Lil Baby, Gunna	English	2018	hip-hop	null	hardwork	inspiring	synthesizer	5	3	5	4	8	4	5	DG
Demons and Angles	Richie Souf, A Boogie wit da Hoodie, Juice wrld	A Boogie wit da Hoodie, Juice wrld	English	2018	hip-hop	R&B	lifestyle	mellow	synthesizer	5	5	6	7	7	3	4	DG
Drip or Drown	Gunna	Gunna	English	2019	hip-hop	Rap	braggadocious	upbeat	synthesizer	5	4	6	7	6	3	3	DG
Hear Me Calling	Jarad Higgins, Geroge Dickenson, Nathanial Caserta	Juice Wrld	English	2019	hip-hop	Dancehall	emotions	light-hearted	piano	6	7	7	6	9	8	3	DG
Juveniles	YBN Nahmir, wifisfuneral	wifisfuneral, YBN Nahmir	English	2018	hip-hop	null	strip club	upbeat	synthesizer	5	3	3	7	7	7	7	DG
Life Goes On	Lil Baby, Lil Uzi Vert, Gunna, Quay Global	Lil Baby, LIl Uzi Vert, Gunna	English 	2018	hip-hop	Rap	braggadocious	upbeat	synthesizer	5	4	6	7	8	7	4	DG
Magic	Matthew Harui	Yung Gravy	English	2019	hip-hop	null	braggadocious	uplifting	vocals	7	5	3	10	8	4	5	DG
Maze	Boi-1da, Juice Wrld	Juice Wrld	English	2019	hip-hop	null	depression	light-hearted	synthesizer	5	6	6	7	8	3	3	DG
New Patek	Dolan Beats, Lil Uzi Vert	Lil Uzi Vert	English	2018	hip-hop	Trap	braggadocious	upbeat	piano	5	6	6	8	10	10	8	DG
Old Town Road	Montero Hill, Trent Renzor, Atticus Ross	Lil Nas X	English	2019	country	Trap	Independence	melow	guitar	5	4	7	5	7	7	4	DG
Put a Date on It	Lil Baby, Yo Gotti	Lil Baby, Yo Gotti	English 	2019	hip-hop	Trap	 braggadocious	upbeat	synthesizer	5	5	7	6	7	3	4	DG
Sanguine Paradise	Lil Uzi Vert	Lil Uzi Vert	English	2019	hip-hop	null	perseverance	exciting	Piano	5	5	6	9	8	7	7	DG
The Reaper	The Atomix, A Boogie wit da Hoodie	A Boogie wit da Hoodie	English	2018	hip-hop	Trap	lifestyle	mellow	guitar	5	7	7	9	9	5	5	DG
2:00 AM	Cassanova, Tory Lanez, Davaido	Cassanova, Tory Lanez, Davaido	English	2019	hip-hop 	R&B	Relationships	relaxed 	synthesizer	5	5	4	4	5	7	4	DW
6 inch	Beyonce, The Weekend	Beyonce, The Weekend	English	2019	pop	null	Encouraging 	UpBeat	Trumpet 	5	6	9	9	7	7	4	DW
Beat It	Michael Jackson	Michael Jackson	English	1982	pop	rock	smart choices	uplifting	guitar	4	6	9	9	9	7	5	DW
Every Season 	Roddy Rich 	Roddy Rich 	English 	2018	hip-hop 	Rap	Money 	Hype	Guitar 	3	5	5	7	7	7	4	DW
Gods Gift	J.Cole	J.Cole	English	2011	hip-hop 	Rap	Storytelling	Touching 	Drums	6	8	3	3	6	1	3	DW
I Like Girls	Pnb rock, Lil Skies	Pnb rock, Lil Skies	English 	2019	hip-hop 	Rap	Women	Hype	Piano	3	2	6	6	7	9	3	DW
rock Your Body	Chris Bronw	Chris Brown	English 	2017	R&B	Soul 	Dancing	Smooth	synthesizer	3	4	7	8	7	9	4	DW
Shed you	Tessa Thompson, Moses Sumney	Tessa Thompson, Moses Sumney	English 	2015	R&B	Soul 	Love	Chill	synthesizer	6	4	4	5	3	3	2	DW
Sola	Jessie Reyez 	Jessie Reyez 	English 	2018	R&B	Soul 	moving on	Sad	Guitar 	6	7	10	8	7	3	3	DW
The Worst	Jhene Aiko	Jhene Aiko 	English 	2013	R&B	R&B	Relationships	Smooth	Piano	4	7	6	6	6	8	3	DW
Unfazed	LIL UZI	LIL UZI ,The Weekend	English	2017	hip-hop 	Rap	Fearless	Hype	Synthesizer 	5	1	6	6	2	5	10	DW
Back In Black	AC/DC	Brian Johnson 	English	1980	rock	heavy metel	back	exciting	Guitar	8	9	8	8	7	9	8	EEN
Radioactive	Dan Reynolds	Dan Reynolds	English	2012	rock	 Alternative Rock	apocalypse	exciting	Drums	7	9	8	8	8	6	6	EEN
Highway to Hell	AC/DC	Bon Scott	English	1979	rock	hard rock	hell	exciting	Guitar	8	8	8	7	7	7	6	EEN
I Will Always Love You	Dolly Parton	Whitney Houston	English	1973	Country	null	love	sad	Piano	7	9	9	8	8	8	7	EEN
Counting Starts	One Republic	Ryan Tedder	English	2013	 pop rock	funk-pop	love	happy	Guitar	8	8	8	8	8	8	8	EEN
Demons	Imagine Dragons 	Dan Reynolds	English	2012	indie rock	null	yourself	anger	Drums	8	9	9	8	9	8	8	EEN
Monster	Imagine Dragons	Dan Reynolds	English	2013	indie rock	 Alternative Rock	yourself	anger	Drums	7	8	9	9	7	8	8	EEN
Time in a bottle	Jim Croce	Jim Croce	English	1973	folk rock	null	time	hope	Guitar	9	8	7	8	8	8	8	EEN
Uptown Funk	Mark Ronson	Bruno Mars	English	2014	funk-pop	disco-pop	Women	happy	Drums	7	7	8	9	9	9	9	EEN
The Real Slim Shady 	Eminem	Eminem	English	2000	rap	hip-hop	null	anger	Drums	4	8	8	8	9	5	4	EEN
4 your eyez only	J.cole	J.cole	English	2016	hip-hop	rap	hardship	sad	synthesizer	5	10	8	8	7	0	7	EN
Come closer	A Boogie wit da Hoodie, Queen Naija	A Boodie and Queen Naija	English	2018	hip-hop	rap	heartbreak destraction	sad	synthesizer	7	7	7	7	4	0	7	EN
Confuession of a dangerous mind	Logic	Logic	English	2019	hip-hop	rap	self esteem	calm	synthesizer	7	9	6	8	8	0	8	EN
Immortal	J.cole	J.cole	English	2016	hip-hop	rap	inspirational	chill	synthesizer	7	9	7	6	7	0	3	EN
